Year,Total value ($1000),Value per litre (cents),Type
1901,252,7,Export
1902,260,7,Export
1903,298,6,Export
1904,210,6,Export
1905,216,6,Export
1906,226,5,Export
1907,196,6,Export
1908,254,6,Export
1909,206,6,Export
1910,252,6,Export
1911,258,6,Export
1912,304,6,Export
1913,242,7,Export
1914,212,7,Export
1915,202,7,Export
1916,242,7,Export
1917,224,8,Export
1918,204,12,Export
1919,402,13,Export
1920,468,13,Export
1921,622,12,Export
1922,322,12,Export
1923,330,10,Export
1924,434,10,Export
1925,378,9,Export
1926,744,10,Export
1927,1668,12,Export
1928,2124,12,Export
1929,1002,13,Export
1930,1112,11,Export
1931,1020,10,Export
1932,1818,12,Export
1933,1582,11,Export
1934,1606,12,Export
1935,1624,11,Export
1936,1870,11,Export
1937,2088,11,Export
1938,1890,11,Export
1939,1964,12,Export
1940,1916,12,Export
1941,1032,14,Export
1942,996,16,Export
1943,594,16,Export
1944,846,15,Export
1945,1190,17,Export
1946,1482,18,Export
1947,2364,19,Export
1948,2860,23,Export
1949,1988,23,Export
1950,1032,21,Export
1951,1270,23,Export
1952,1462,28,Export
1953,1528,29,Export
1954,1806,28,Export
1955,1634,28,Export
1956,1468,27,Export
1957,2264,29,Export
1958,1994,29,Export
1959,2304,29,Export
1960,2530,32,Export
1961,2606,30,Export
1962,2772,37,Export
1963,2742,37,Export
1964,2741,39,Export
1965,3521,39,Export
1966,3535,40,Export
1967,3169,39,Export
1968,3153,38,Export
1969,3395,41,Export
1970,2913,49,Export
1971,3581,55,Export
1972,4245,53,Export
1973,3220,52,Export
1974,5641,67,Export
1975,5343,82,Export
1976,5500,90,Export
1977,5400,110,Export
1978,5400,117,Export
1979,6300,120,Export
1980,8400,138,Export
1981,11900,159,Export
1982,14000,167,Export
1983,13400,169,Export
1984,16800,189,Export
1985,17400,200,Export
1986,20541,190,Export
1987,44620,209,Export
1988,96157,246,Export
1989,114521,293,Export
1990,121248,318,Export
1991,179588,332,Export
1992,243526,310,Export
1993,293157,285,Export
1994,366574,292,Export
1995,385706,339,Export
1996,471576,364,Export
1997,603297,391,Export
1998,873847,454,Export
1999,986822,457,Export
2000,1372768,482,Export
2001,1752082,518,Export
2002,2105139,506,Export
2003,2423468,477,Export
2004,2494089,429,Export
2005,2715290,411,Export
2006,2756520,375,Export
2007,2878598,361,Export
2008,2680378,378,Export
2009,2427000,323,Export
2010,2164000,279,Export
2011,1957000,269,Export
2012,1862000,261,Export
2013,1821000,268,Export
1901,324,34,Import
1902,256,32,Import
1903,216,31,Import
1904,194,35,Import
1905,200,40,Import
1906,212,41,Import
1907,241,46,Import
1908,265,49,Import
1909,231,39,Import
1910,253,51,Import
1911,370,67,Import
1912,299,43,Import
1913,292,42,Import
1914,na,na,Import
1915,194,43,Import
1916,166,41,Import
1917,131,43,Import
1918,82,44,Import
1919,75,43,Import
1920,337,81,Import
1921,387,82,Import
1922,113,55,Import
1923,148,56,Import
1924,187,54,Import
1925,212,57,Import
1926,206,52,Import
1927,204,50,Import
1928,159,46,Import
1929,167,48,Import
1930,157,43,Import
1931,23,33,Import
1932,10,26,Import
1933,32,48,Import
1934,52,48,Import
1935,70,54,Import
1936,60,44,Import
1937,66,43,Import
1938,78,34,Import
1939,74,39,Import
1940,57,47,Import
1941,11,38,Import
1942,0,na,Import
1943,0,82,Import
1944,2,61,Import
1945,0,51,Import
1946,3,122,Import
1947,22,146,Import
1948,125,145,Import
1949,189,95,Import
1950,108,90,Import
1951,195,94,Import
1952,334,92,Import
1953,33,93,Import
1954,168,91,Import
1955,255,105,Import
1956,213,96,Import
1957,149,98,Import
1958,231,104,Import
1959,243,103,Import
1960,261,95,Import
1961,411,92,Import
1962,417,112,Import
1963,449,111,Import
1964,550,103,Import
1965,725,106,Import
1966,729,110,Import
1967,913,106,Import
1968,1581,114,Import
1969,2224,107,Import
1970,2239,115,Import
1971,3080,128,Import
1972,3745,148,Import
1973,6279,209,Import
1974,10991,255,Import
1975,10876,205,Import
1976,12505,181,Import
1977,14447,178,Import
1978,18089,232,Import
1979,23814,281,Import
1980,23791,346,Import
1981,20622,275,Import
1982,23519,262,Import
1983,21671,295,Import
1984,27860,289,Import
1985,40470,308,Import
1986,46410,363,Import
1987,37585,490,Import
1988,41358,508,Import
1989,46871,481,Import
1990,52692,504,Import
1991,46779,520,Import
1992,45649,525,Import
1993,46984,600,Import
1994,47637,571,Import
1995,61057,434,Import
1996,60478,299,Import
1997,66503,489,Import
1998,92926,363,Import
1999,102498,423,Import
2000,113868,581,Import
2001,92218,722,Import
2002,115560,797,Import
2003,139213,813,Import
2004,152405,813,Import
2005,188224,850,Import
2006,234097,861,Import
2007,306350,892,Import
2008,431382,813,Import
2009,473300,760,Import
2010,458800,712,Import
2011,470800,702,Import
2012,529800,641,Import
2013,576700,684,Import
